id,name,profile_path,gender
40680,Julie Brown,/8a1NwjIyjOWmYTqdj4fuxqKlzR5.jpg,1
17764,Charles S. Dutton,/ajXBoMz8xGgDDcn8xpRi8LmXKKa.jpg,2
194,Richard Harris,/51wDHVFNqrYgvUBMOcACAt4sJU9.jpg,2
1327,Ian McKellen,/coWjgMEYJjk2OrNddlXCBm8EIr3.jpg,2
388,Jim Broadbent,/50TV6UKJKjmqdn1GQNuuCIYHLzP.jpg,2
3223,Robert Downey Jr.,/1YjdSym1jTG7xjHSI0yGGWEsw5i.jpg,2
66,Chris Tucker,/9RQvgEi1GnPK4QzqOGHL3jP3VZr.jpg,2
11486,Michael Imperioli,/3AupsGJOUaAiXXaq626wzKaLiZ8.jpg,2
5344,Meg Ryan,/iv33eEcSakPCkO2MiR4bIZpjgyg.jpg,1
38559,Christopher Lambert,/sIl2F9LDTjfnAVBxEG5CTtZGuJU.jpg,2
57256,Ed Boon,,0
2227,Nicole Kidman,/1ammEgq5D6qw5mM4WkgUmnxQ7Uy.jpg,1
2876,Matt Dillon,/svj4JJmblkNUt9pSrchJEzx4VR3.jpg,2
73421,Joaquin Phoenix,/fGXFFv7owELL4wCFn2OsFAgOiO3.jpg,2
1893,Casey Affleck,/kPNMpiZHsAzeQar4DiNsrekwHBU.jpg,2
7796,Illeana Douglas,/w2O2SOXzwtJu9eytb3hGS7T8ftR.jpg,1
224,David Cronenberg,/nFHIlkIuile5RmtSqbyCB4w8SpH.jpg,2
1920,Winona Ryder,/gUyEOZpZlGBUkUxCxyoLEc9WejR.jpg,1
54424,Maya Angelou,/wdlFPg1qhGGzctwJ1KwrPxy3T6y.jpg,1
1981,Alfre Woodard,/aCAjUOrV2WG3OaLUvQHVkyk8S2P.jpg,1
9626,Rip Torn,/rzGaoGikjMuLDruABKdLcQLtkZk.jpg,2
7499,Jared Leto,/msugySeTCyCmlRWtyB6sMixTQYY.jpg,2
192,Morgan Freeman,/oGJQhOpT8S1M56tvSsbEBePV5O1.jpg,2
1979,Kevin Spacey,/cdowETe1PgXLjo72hDb7R7tyavf.jpg,2
6487,Richard Roundtree,/3OyAx3Vrv1mQLOvl7YHaIaFwDuW.jpg,2
12055,John Cassini,/x6on7gR2Q8iQknmrmEL6hMZWZPJ.jpg,2
10688,Harris Savides,/7B7o49bFyrfoiUvEujqqXNW8avK.jpg,2
12047,Andrew Kevin Walker,/tPypY1vmiLEkoFuN0Q5pUU338ms.jpg,2
1025337,William Davidson,,2
17449,Bob Stephenson,/BdlHJDys3K6tMKGR8zIB3QMw4o.jpg,2
54433,James Deeth,,0
16563,Charles A. Tamburro,/h0l9hp8RWP8u8fRjN9CyC8NFN2U.jpg,0
944,Arthur Max,,2
2461,Mel Gibson,/6VGgL0bBvPIJ9vDOyyGf5nK2zL4.jpg,2
20173,Don McKellar,/cV1nEafG1CqIdnrce5pVw2hcaep.jpg,2
5168,Gabriel Byrne,/lFIH4De52Eg21m7pScPMXezZDUh.jpg,2
9046,Chazz Palminteri,/57fiwGZBohA7qytoXOUJtSNVksT.jpg,2
1121,Benicio del Toro,/8am369y5SGiZv4l0gY9O5ENzgvE.jpg,2
101377,Paul Bartel,/7Kj1Y9V8lfnFXHkjf30H8d3ylQA.jpg,2
9048,Clark Gregg,/t8CLS2Zcy7IjcZkE1vtxl40h9rh.jpg,2
112159,Art Camacho,/bthvmWThKWzm4xaQ6hRdw4iO27g.jpg,2
1243,Woody Allen,/wpcOUlaszvJoVRf1yLbDtu7u4FI.jpg,2
4688,Michael Rapaport,/i39bAISjAUWYlXZZA0wmjYWnZGf.jpg,2
