id,gender
8984,2
923,2
11477,2
19292,2
7399,2
20818,2
53684,2
17494,2
58478,2
190,2
22686,1
7908,2
133876,2
103057,2
3664,1
33463,0
8385,2
147057,2
118180,0
1112607,2
35040,2
128174,2
1957,1
3064,2
151305,2
16908,2
1038,1
13,2
1032,2
16525,2
76155,2
1422613,0
18855,2
18897,2
44919,2
21264,2
1166093,2
35911,2
47001,0
122924,2
520,1
1245,1
68185,2
1903,2
4587,1
26485,2
33192,2
78029,2
2632,2
2166,2
14151,2
1093110,0
1093108,0
21278,2
10437,1
77133,1
12438,2
72466,2
2712,2
47932,2
1457926,1
8432,2
16659,2
161787,0
61703,2
60949,2
84077,2
226651,2
10872,2
162927,2
27742,2
1854413,2
45382,2
191570,2
93396,2
4135,2
5346,2
14990,1
12833,2
27739,1
2888,2
18472,2
9275,2
119869,2
6193,2
11478,0
13240,2
42993,2
1462,2
2053,2
33,2
8186,2
8189,1
102429,2
1400384,0
7852,2
973,2
2176,2
69597,1
106745,0
9766,1
39645,0
793,2
3910,1
8978,2
46393,1
4429,0
6394,2
46395,2
7180,2
3214,2
17087,2
707,2
10713,2
76239,2
131667,2
1201305,0
3198,2
1241,2
327,2
86462,0
5281,2
66600,2
1253648,0
95747,1
11357,2
994073,2
5292,2
110,2
76546,0
35091,2
73033,2
20498,2
6897,0
1896,2
11067,2
2231,2
13023,1
21136,2
11152,1
738,2
1205,2
11857,2
11701,1
26457,2
26473,2
204388,0
2387,2
6384,2
3317,2
21411,2
16644,2
87461,2
6720,1
13445,1
2283,2
1535,2
16119,2
78435,0
57906,0
2838,1
2229,1
22970,2
23626,2
880,2
19302,2
19303,2
7624,2
20503,2
572591,2
652,0
2395,1
32362,2
88519,0
12248,2
1090481,2
8949,2
5602,2
18328,2
1472,2
44827,2
16487,2
1077893,0
207419,0
18161,2
12519,1
6163,2
100771,1
64,2
3087,2
16450,2
19767,2
2041,2
5384,2
11150,1
2055,2
156029,2
66877,1
1233895,1
2178,2
15109,1
57395,1
1812,1
1407228,2
1395307,1
124688,2
46087,2
1383838,2
587079,2
140909,2
33662,2
6197,2
879,2
5469,2
7132,2
195762,1
156869,2
1640575,0
1193473,2
9436,2
4787,2
40938,1
12952,2
35530,2
5723,2
3229,2
23880,2
10866,2
25541,1
9779,2
11803,2
1533,1
5401,2
3753,2
1269,2
2778,2
8335,2
33162,2
6473,1
6913,1
3926,0
11511,2
82796,2
113758,1
1094725,0
569,2
1146,1
3722,2
3727,2
77075,2
10297,2
1255228,2
27995,1
5472,2
23630,2
21405,2
3084,2
55636,2
19152,2
56485,1
21563,2
29383,2
8447,2
7412,0
1748864,0
1546585,1
60661,0
26739,1
98,1
7708,1
19252,1
210311,2
119887,2
166393,2
55779,2
1532,2
16643,0
545,2
22250,2
1063614,2
55959,0
1375144,1
16328,2
7904,2
26513,1
14322,2
155897,1
13920,1
52374,2
77210,2
1075026,0
15775,2
78076,2
1924,0
15309,1
58623,2
22035,2
122449,2
1326,1
1439931,2
57119,2
14104,2
6588,1
22,2
57851,2
116805,2
36602,2
305332,2
504,2
11275,2
69300,2
500,2
1733,2
83480,2
1100,2
82415,2
12939,2
68497,2
56871,2
95741,2
1452688,0
21403,2
8784,2
9994,1
10182,2
2,2
4,1
42570,2
1271059,2
1271061,0
53587,2
1271077,0
1271078,0
964699,2
1271079,0
4945,2
1148750,0
1271085,0
19801,0
7727,2
24278,2
60207,0
1168013,0
5538,2
104393,0
184106,0
105791,2
22675,2
204411,0
59229,2
12150,2
5953,2
53910,0
6449,2
52865,2
1524,2
47773,2
9777,2
13602,1
55477,2
8930,0
151797,2
28768,1
66606,2
57829,2
3026,2
12219,2
1910,1
4786,2
6575,2
17832,1
587,2
537,2
3636,2
1233,2
213,2
11898,0
18272,2
72983,2
4438,2
1437861,0
13918,1
51799,2
20056,2
40644,2
91897,2
3210,2
3211,2
92490,2
1378239,0
155535,0
1954,2
7248,2
7255,2
24967,1
4483,2
18352,2
13420,1
64210,1
136183,2
2319,1
2165,1
11804,2
58552,0
11806,1
18023,2
52602,2
2171,0
8246,2
7450,2
6012,2
20239,0
23961,2
18514,1
23393,2
5077,1
934,2
326,1
20766,2
11059,2
30364,0
21175,2
38225,1
47,1
189761,2
1137,1
1148,0
6415,2
65348,2
107300,0
6856,2
938,2
777,2
1123794,0
1185588,0
389763,2
3061,2
8999,2
15337,2
36173,2
63208,2
17604,2
58955,2
15170,2
3489,1
13604,0
9306,2
72231,1
1559957,2
1434559,0
29214,1
9575,1
102441,2
2388,2
2390,2
1748,2
1754,2
34199,2
55538,2
21246,2
61153,2
141825,2
1403421,1
57777,2
16358,0
20006,2
60650,2
54564,2
37995,1
2879,2
195399,1
10409,0
564,2
1199564,0
62842,2
17769,1
1064,2
109,2
155,2
25540,1
3072,2
44990,2
114034,0
14405,1
10822,2
1402277,0
7420,2
10427,1
11085,2
42649,1
4040,2
3635,1
37832,0
14526,2
6310,0
1446990,0
1401994,0
92658,2
406976,1
1327149,0
13204,2
10730,2
26717,2
77897,1
6614,2
1270,2
33054,0
4810,1
5950,2
103374,2
90340,2
2130,2
10139,1
10141,0
226963,0
1050751,2
10142,0
4756,2
61969,2
6591,2
5141,1
5139,2
5140,2
166594,2
35521,2
35581,1
553772,1
13668,1
13663,2
13657,2
234423,0
53402,2
16896,2
5563,2
95082,2
233500,0
194654,2
7200,1
225499,2
12235,2
98102,2
16028,2
2047,2
1219264,0
55152,2
11151,2
69122,1
41670,1
15277,2
12949,1
10430,2
71041,0
12987,2
21462,1
2232,2
9137,1
6684,1
20309,2
9880,2
1328,2
1378721,0
6008,2
21399,2
116047,2
230136,0
99856,0
10017,2
32593,2
1441226,1
5144,0
20300,1
14409,2
16331,2
368,1
2219,2
87332,2
95192,2
95197,0
92384,0
16927,2
138939,0
53332,2
19143,2
1213763,0
126837,2
240086,0
2295,2
121139,2
15112,2
16214,2
10134,2
29069,2
177692,1
17244,2
5174,2
66986,2
21731,2
21412,1
2880,2
785,2
967,0
2440,2
71084,2
67274,1
1212058,0
16666,2
4603,2
4606,2
4608,2
4600,2
66758,2
133259,2
1,2
21377,2
18266,2
15358,2
1073838,0
10956,2
35806,2
20959,2
64928,2
569899,0
70233,1
6725,2
3035,2
17304,2
40543,2
142159,2
71521,2
56159,2
16430,2
74787,0
51857,2
65704,0
23628,2
1546232,0
21708,2
28164,2
44127,2
1152,2
31152,0
52443,2
23964,2
27727,1
568,1
42157,2
7795,0
15318,2
157969,1
1278542,2
1800242,2
51864,1
11626,2
183230,1
1327404,0
56690,0
1888,2
42171,2
58744,2
21320,1
7488,2
75610,2
75617,0
933416,0
29745,0
1025090,2
141417,2
1434607,0
1428209,0
74487,2
1480633,1
91901,2
1892,2
5605,2
32030,1
1638928,0
20757,2
22461,2
77801,2
17399,2
56268,2
43120,2
1423197,0
990,2
1392738,0
96490,0
1395756,0
26854,2
1459,1
52422,2
4784,1
2211,2
166298,2
1060,2
9559,0
15335,2
12640,2
101432,2
7040,2
7046,1
28950,1
3490,2
35468,1
